start_date,end_date,category,start,stop,miles,purpose,reject_reason
6/26/2016 19:41,6/26/2016 19:50,Business,Kenner,Kenner,2.2,,Missing required fields
6/26/2016 21:14,6/26/2016 21:42,Business,Kenner,New Orleans,13.0,,Missing required fields
6/27/2016 7:37,6/27/2016 8:48,Business,New Orleans,Covington,46.9,,Missing required fields
6/27/2016 8:51,6/27/2016 9:00,Business,Covington,Covington,2.5,,Missing required fields
6/27/2016 9:05,6/27/2016 9:33,Business,Covington,Covington,8.6,,Missing required fields
6/27/2016 9:43,6/27/2016 10:08,Business,Covington,Covington,5.2,,Missing required fields
6/27/2016 10:22,6/27/2016 10:39,Business,Covington,Covington,7.6,,Missing required fields
6/27/2016 10:51,6/27/2016 10:58,Business,Covington,Covington,1.8,,Missing required fields
6/27/2016 11:06,6/27/2016 11:24,Business,Covington,Mandeville,4.7,,Missing required fields
6/27/2016 11:30,6/27/2016 11:42,Business,Mandeville,Mandeville,2.8,,Missing required fields
6/27/2016 12:22,6/27/2016 13:02,Business,Mandeville,Metairie,30.0,,Missing required fields
6/27/2016 13:56,6/27/2016 14:05,Business,Metairie,Kenner,4.4,,Missing required fields
6/27/2016 21:09,6/27/2016 21:19,Business,Jamestown Court,Jamestown Court,1.0,,Missing required fields
6/29/2016 8:56,6/29/2016 9:24,Business,Cary,Morrisville,7.3,,Missing required fields
6/29/2016 10:22,6/29/2016 10:38,Business,Morrisville,Cary,7.4,,Missing required fields
6/29/2016 11:49,6/29/2016 11:51,Business,Whitebridge,Westpark Place,1.6,,Missing required fields
6/29/2016 12:11,6/29/2016 12:16,Business,Westpark Place,Whitebridge,1.8,,Missing required fields
07-05-2016 20:06,07-05-2016 20:26,Business,Cary,Durham,9.9,,Missing required fields
07-05-2016 22:41,07-05-2016 23:02,Business,Durham,Morrisville,8.6,,Missing required fields
07-06-2016 12:48,07-06-2016 13:08,Business,Durham,Cary,9.9,,Missing required fields
07-07-2016 10:27,07-07-2016 10:33,Business,Morrisville,Cary,8.9,,Missing required fields
07-07-2016 12:59,07-07-2016 13:35,Business,Kenner,New Orleans,12.8,,Missing required fields
07-08-2016 09:50,07-08-2016 10:13,Business,CBD,Pontchartrain Beach,7.7,,Missing required fields
07-08-2016 10:51,07-08-2016 11:12,Business,Pontchartrain Beach,CBD,7.0,,Missing required fields
07-08-2016 13:48,07-08-2016 14:11,Business,New Orleans,Metairie,12.5,,Missing required fields
07-08-2016 17:11,07-08-2016 17:30,Business,Kenner,New Orleans,13.2,,Missing required fields
07-09-2016 09:03,07-09-2016 09:46,Business,New Orleans,Kenner,13.0,,Missing required fields
07-09-2016 09:52,07-09-2016 10:06,Business,Kenner,Metairie,4.9,,Missing required fields
07-09-2016 10:15,07-09-2016 10:33,Business,Metairie,New Orleans,8.5,,Missing required fields
07-10-2016 14:10,07-10-2016 14:17,Business,CBD,St Thomas,1.3,,Missing required fields
07-10-2016 16:04,07-10-2016 16:15,Business,St Thomas,CBD,1.8,,Missing required fields
07-10-2016 18:05,07-10-2016 18:21,Business,New Orleans,Kenner,13.6,,Missing required fields
07-10-2016 19:51,07-10-2016 20:08,Business,Kenner,New Orleans,13.4,,Missing required fields
07-12-2016 16:10,07-12-2016 16:45,Business,New Orleans,Kenner,12.3,,Missing required fields
